timestamp,robot_state,joint_position_1,joint_position_2,joint_position_3,joint_position_4,joint_position_5,joint_position_6,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,joint_torque_1,joint_torque_2,joint_torque_3,joint_torque_4,joint_torque_5,joint_torque_6
0.0,1,0.4352082875086342,-0.1547857288476494,-1.590070630583469,0.0090093805842012,-1.406081896172272,0.0395969281329938,-0.0138035113446644,0.0271576151396094,-0.0872620775627523,-0.1402749703940642,0.220558172678066,0.2108506762120654,-43.58472098661184,7.669664212716009,-5.736688036432376,-1.188644119761745,-1.079979443672516,-0.2207812601978598
0.01,2,0.4303600408595958,-0.1459674653480079,-1.5916268849634811,-0.004075907054523,-1.4021979463528706,0.0416553522520897,-0.0224402640610116,0.1026117206588836,-0.0186403352922001,-0.0904320398659966,0.0920360508570662,0.0723004650609679,-43.58472098661184,7.669664212716009,-5.736688036432376,-1.188644119761745,-1.079979443672516,-0.2207812601978598
0.02,2,0.4365558999289018,-0.1445026685204994,-1.5885412126135077,-0.0029503249997664,-1.405456750823112,0.0446652904825985,0.02076253424945,-0.0172858969728076,-0.0243878164813957,-0.0095520083322444,0.0142422440551864,-0.0662497460901296,-43.58472098661184,7.669664212716009,-5.736688036432376,-1.188644119761745,-1.079979443672516,-0.2207812601978598
0.03,2,0.4379284911559101,-0.1480305180036883,-1.587981909981899,0.0036491564521526,-1.4042442918513194,0.0381334739086974,-0.0259833861938735,-0.0513536867964934,-0.0185688760781116,0.0191903324863418,-0.005793065812834451,0.0607358491626402,-43.58472098661184,7.669664212716009,-5.736688036432376,-1.188644119761745,-1.079979443672516,-0.2207812601978598
0.04,2,0.4266945243148522,-0.1514867995825992,-1.5894777972785927,0.0007095724699634,-1.4045606816862255,0.0383027249492744,0.0357374819992409,-0.0429591417531735,0.0390304836743161,-0.010134971576238,-0.0258283756808553,0.0423572922160399,-43.58472098661184,7.669664212716009,-5.736688036432376,-1.188644119761745,-1.079979443672516,-0.2207812601978598
0.05,2,0.4312021845597226,-0.1519242654535635,-1.5889881775815318,0.0019448978681483,-1.4026471872503703,0.0399222610472543,-0.047277916315388996,-0.0137617593202132,-0.0247442573588336,0.0199097031993084,-0.0281081546454353,0.0443180223955223,-43.58472098661184,7.669664212716009,-5.736688036432376,-1.188644119761745,-1.079979443672516,-0.2207812601978598
0.06,2,0.4342255177013915,-0.1453029234044796,-1.593486923204689,0.0017579982940168,-1.4024436628234638,0.0411621636165385,-0.1302933146300189,0.044323564906731,0.0510380083053468,0.0784418917063407,0.0147458075069939,-0.0509576944097248,-43.58472098661184,7.669664212716009,-5.736688036432376,-1.188644119761745,-1.079979443672516,-0.2207812601978598
0.07,2,0.4321940467523439,-0.1532234906342203,-1.5815881352926733,0.0012754306056285,-1.394026421152374,0.0351811820913783,0.0546244126478938,0.035140864291155,0.0586574277260726,0.0784202407331602,-0.0592286514863837,-0.033946641115587,-43.58472098661184,7.669664212716009,-5.736688036432376,-1.188644119761745,-1.079979443672516,-0.2207812601978598
0.08,2,0.4344125251737233,-0.1443762505566439,-1.5955466786421415,0.001071192443635,-1.4000023618608437,0.0428792400257428,-0.0330072943594213,-0.0414525749443369,-0.02667482126419,0.0783985897599797,-0.090852542907022,0.0565313397620062,-43.58472098661184,7.669664212716009,-5.736688036432376,-1.188644119761745,-1.079979443672516,-0.2207812601978598
0.09,2,0.4304905458099416,-0.1492851072345134,-1.5936268237740154,0.0035134061858497,-1.4115652719578162,0.0408779811945099,-0.1081223192627794,0.0120367035227094,-0.02752160282747,0.0167231019091197,0.0731954270801315,0.0325547446723412,-43.58472098661184,7.669664212716009,-5.736688036432376,-1.188644119761745,-1.079979443672516,-0.2207812601978598
